NumItemsInCart,CartTotalAmount,TimeSpentOnSiteMinutes,HasCouponApplied,IsReturningCustomer,device_encoded,weekday,abandon_label
2,87.96,7.39,0.0,0.0,2,2,1
1,120.0,11.37,0.0,0.0,0,3,1
6,150.12,6.8,0.0,0.0,0,4,1
3,88.2,7.52,0.0,0.0,1,5,1
4,64.19,3.75,0.0,0.0,2,6,1
0,147.66,8.4,0.0,0.0,1,0,1
1,59.15,12.2,0.0,0.0,2,1,1
2,10.61,14.22,0.0,0.0,1,2,1
2,36.37,10.74,0.0,0.0,1,3,1
7,10.29,6.73,0.0,0.0,1,4,1
3,90.01,9.4,0.0,0.0,0,5,0
3,35.51,6.6,0.0,0.0,0,6,1
2,241.16,8.48,0.0,0.0,2,0,1
6,38.73,9.55,0.0,0.0,0,1,0
2,23.98,3.87,0.0,0.0,1,2,1
5,87.27,10.3,0.0,0.0,0,3,1
2,17.98,9.28,0.0,0.0,0,4,0
4,13.5,5.76,0.0,0.0,2,5,1
5,65.15,2.02,0.0,0.0,1,6,0
2,56.82,8.62,0.0,0.0,0,0,1
3,20.8,10.1,0.0,0.0,0,1,0
1,19.16,7.01,0.0,0.0,2,2,0
3,71.45,7.03,0.0,0.0,2,3,1
3,125.3,9.68,0.0,0.0,1,4,1
2,54.52,6.09,0.0,0.0,2,5,1
3,57.87,10.06,0.0,0.0,1,6,0
0,57.7,7.17,0.0,0.0,1,0,1
2,72.81,8.68,0.0,0.0,0,1,1
6,27.34,9.01,0.0,0.0,0,2,1
1,70.48,12.69,0.0,0.0,0,3,1
3,139.27,8.82,0.0,0.0,0,4,0
4,58.85,5.28,0.0,0.0,0,5,1
3,102.06,6.41,0.0,0.0,1,6,0
1,166.87,6.4,0.0,0.0,0,0,0
3,104.27,9.55,0.0,0.0,0,1,1
0,123.99,7.82,0.0,0.0,0,2,1
4,117.32,7.97,0.0,0.0,1,3,1
2,112.22,11.57,0.0,0.0,2,4,1
2,26.85,10.64,0.0,0.0,2,5,0
2,118.6,7.14,0.0,0.0,0,6,1
2,54.61,13.17,0.0,0.0,2,0,0
5,88.27,14.77,0.0,0.0,1,1,1
3,62.93,5.47,0.0,0.0,0,2,1
3,160.13,6.4,0.0,0.0,1,3,1
2,95.02,4.76,0.0,0.0,1,4,1
2,99.97,12.23,0.0,0.0,0,5,0
0,107.08,5.43,0.0,0.0,1,6,0
3,60.78,6.5,0.0,0.0,0,0,0
4,107.9,15.18,0.0,0.0,1,1,1
4,23.95,10.86,0.0,0.0,2,2,0
3,65.61,7.21,0.0,0.0,2,3,1
3,89.03,7.91,0.0,0.0,2,4,0
1,52.8,2.69,0.0,0.0,1,5,0
4,223.7,7.81,0.0,0.0,0,6,1
3,34.35,8.69,0.0,0.0,2,0,0
3,13.01,4.78,0.0,0.0,0,1,1
4,156.04,8.67,0.0,0.0,2,2,1
3,69.08,14.16,0.0,0.0,2,3,1
3,22.69,12.41,0.0,0.0,1,4,1
4,41.2,12.73,0.0,0.0,2,5,1
1,9.53,7.12,0.0,0.0,0,6,0
1,25.3,6.83,0.0,0.0,0,0,1
5,62.4,9.75,0.0,0.0,2,1,0
0,102.53,6.39,0.0,0.0,0,2,1
6,38.1,10.13,0.0,0.0,0,3,0
2,29.41,10.92,0.0,0.0,0,4,1
4,32.42,14.58,0.0,0.0,0,5,1
1,36.43,4.06,0.0,0.0,0,6,1
8,69.13,11.16,0.0,0.0,2,0,1
1,160.06,6.56,0.0,0.0,0,1,0
7,9.24,12.56,0.0,0.0,0,2,1
1,29.57,9.11,0.0,0.0,2,3,0
0,9.7,8.45,0.0,0.0,1,4,1
1,25.52,10.88,0.0,0.0,0,5,1
5,50.77,10.95,0.0,0.0,1,6,1
2,14.67,6.9,0.0,0.0,1,0,0
3,87.85,8.32,0.0,0.0,2,1,1
4,21.6,6.23,0.0,0.0,1,2,1
5,83.61,8.46,0.0,0.0,1,3,1
3,32.89,10.83,0.0,0.0,1,4,0
2,44.4,12.65,0.0,0.0,2,5,1
2,75.79,2.52,0.0,0.0,0,6,1
2,195.94,11.46,0.0,0.0,2,0,1
4,33.02,10.29,0.0,0.0,2,1,1
2,9.59,4.49,0.0,0.0,2,2,0
5,168.44,3.26,0.0,0.0,0,3,0
4,85.28,8.07,0.0,0.0,1,4,0
2,28.41,7.79,0.0,0.0,0,5,1
0,54.26,8.18,0.0,0.0,1,6,1
6,60.03,12.61,0.0,0.0,0,0,0
8,34.66,3.48,0.0,0.0,2,1,1
3,16.98,4.65,0.0,0.0,2,2,1
2,42.44,3.9,0.0,0.0,1,3,1
2,15.55,11.51,0.0,0.0,2,4,1
2,192.8,10.12,0.0,0.0,2,5,1
1,122.58,8.49,0.0,0.0,0,6,0
0,123.49,6.47,0.0,0.0,1,0,1
4,8.35,7.4,0.0,0.0,0,1,1
3,36.07,6.86,0.0,0.0,0,2,1
2,15.98,9.88,0.0,0.0,2,3,1
7,62.27,13.76,0.0,0.0,0,4,0
7,4.77,4.72,0.0,0.0,1,5,1
0,125.18,6.72,0.0,0.0,2,6,1
4,41.83,7.32,0.0,0.0,1,0,1
2,42.93,0.31,0.0,0.0,1,1,1
2,47.26,10.64,0.0,0.0,1,2,1
5,19.43,8.25,0.0,0.0,1,3,1
1,80.87,9.19,0.0,0.0,0,4,1
2,39.82,6.23,0.0,0.0,2,5,1
3,64.68,9.2,0.0,0.0,0,6,1
2,1.01,7.57,0.0,0.0,2,0,0
3,93.26,8.21,0.0,0.0,0,1,1
3,14.38,11.3,0.0,0.0,2,2,0
3,13.86,9.1,0.0,0.0,1,3,0
4,49.64,3.52,0.0,0.0,1,4,0
0,57.02,7.73,0.0,0.0,0,5,1
1,123.78,11.6,0.0,0.0,0,6,1
5,58.75,7.41,0.0,0.0,1,0,1
5,83.81,10.28,0.0,0.0,0,1,1
3,69.87,12.63,0.0,0.0,0,2,1
5,98.93,10.64,0.0,0.0,2,3,1
3,199.81,9.53,0.0,0.0,2,4,1
3,37.15,8.66,0.0,0.0,2,5,1
3,28.42,7.33,0.0,0.0,0,6,1
6,39.74,7.69,0.0,0.0,1,0,0
3,142.27,12.17,0.0,0.0,1,1,0
6,27.29,10.03,0.0,0.0,1,2,1
1,48.62,7.54,0.0,0.0,1,3,0
6,20.93,7.16,0.0,0.0,2,4,1
2,34.87,8.25,0.0,0.0,2,5,0
3,24.17,8.99,0.0,0.0,0,6,1
3,40.17,6.93,0.0,0.0,1,0,0
0,64.31,4.52,0.0,0.0,0,1,1
4,64.98,9.6,0.0,0.0,1,2,0
2,28.31,6.79,0.0,0.0,1,3,0
2,9.41,6.17,0.0,0.0,0,4,0
3,132.21,6.69,0.0,0.0,2,5,1
2,96.64,6.04,0.0,0.0,0,6,0
4,202.76,10.21,0.0,0.0,0,0,1
